year_of_mission,mission_title
1992,Antares
1969,Apollo 10
1969,Apollo 11
1969,Apollo 12
1970,Apollo 13
1971,Apollo 14
1971,Apollo 15
1972,Apollo 16
1972,Apollo 17
1968,Apollo 7
1968,Apollo 8
1969,Apollo 9
1975,ASTP
1990,Astro-1
1995,Astro-2
1992,Atlas-1
2001,Ð­ÐŸ-1
2019,EP-19
1994,Euromir 94
1966,Gemini 10
1966,Gemini 11
1966,Gemini 12
1965,Gemini 3
1965,Gemini 4
1965,Gemini 5
1965,Gemini 6A
1965,Gemini 7
1966,Gemini 8
1966,Gemini 9A
1962,MA-6
1962,Mercury-Atlas 7
1962,Mercury-Atlas 8
1963,Mercury-Atlas 9
1988,Mir Aragatz
1994,Mir EO-15
1996,Mir EO-21
1975,Salyut 4
1978,Salyut 6
1985,Salyut 7
2008,Shenzhou 10
2016,Shenzhou 11
2005,Shenzhou 5
2005,Shenzhou 6
2008,Shenzhou 7
2012,Shenzhou 9
1973,Skylab 3
1974,Skylab 4
1973,Skylab-2
2002,Soyuz  3
1967,Soyuz 1
1971,Soyuz 10
1971,Soyuz 11
1973,Soyuz 12
1973,Soyuz 13
1974,Soyuz 14
1974,Soyuz 15
1974,Soyuz 16
1975,Soyuz 18
1975,Soyuz 19
1976,Soyuz 21
1976,Soyuz 22
1976,Soyuz 23
1977,Soyuz 24
1977,Soyuz 25
1977,Soyuz 26/27
1978,Soyuz 27/26
1978,Soyuz 28
1968,Soyuz 3
1978,Soyuz 30
1978,Soyuz 31
1978,Soyuz 31/29
1979,Soyuz 33
1980,Soyuz 36/35
1980,Soyuz 37/36
1980,Soyuz 38
1981,Soyuz 39
1969,Soyuz 4
1981,Soyuz 40
1969,Soyuz 5
1969,Soyuz 5/4
1969,Soyuz 6
1969,Soyuz 7
1969,Soyuz 8
1970,Soyuz 9
1980,Soyuz T­2
1980,Soyuz T­3
1983,Soyuz T­8
1990,Soyuz TM-11/10
1991,Soyuz TM-12/11
1991,Soyuz TM13/12
1992,Soyuz TM-14/13
1993,Soyuz TM-17 / Soyuz TM-16
1996,Soyuz TM-24/23
1997,Soyuz TM-25/24
1998,Soyuz TM-27/26
2001,Soyuz TM-33/32
2002,Soyuz TM-34 / Soyuz TM-33
2002,Soyuz TMA-1/TM-34
2007,Soyuz TMA-10
2007,Soyuz TMA-11/10
2008,Soyuz TMA-12 / Soyuz TMA-11
2008,Soyuz TMA-13
2009,Soyuz TMA-14
2009,Soyuz TMA-16/14
2015,Soyuz TMA-18M/16M
2003,Soyuz TMA-3/2
2001,Soyuz TM­32/31
2002,Soyuz TMA-34/TM-33
1987,Soyuz TM­4/3
2004,Soyuz TMA-4/TMA-3
2005,Soyuz TMA-6/TMA-5
2005,Soyuz TMA-7
2006,Soyuz TMA-8
2006,Soyuz TMA-9
2002,Soyuz TMA­1/TM­34
2004,Soyuz TMA­5
1983,Spacelab 1
1978,Spacelab-2
1985,Spacelab-3
2000,STS 101
1985,STS 51-C
1986,STS 51-L
1981,STS-1
2001,STS-100
2000,STS-101
2001,STS-102
1999,STS-103
2001,STS-104
2001,STS-105
2000,STS-106
2003,STS-107
2001,STS-108
2002,STS-109
2002,STS-110
2002,STS-111
2002,STS-112
2002,STS-113
2005,STS-114
2006,STS-115
2006,STS-116
2007,STS-117
2007,STS-118
2009,STS-119
2007,STS-120
2006,STS-121
2008,STS-122
2008,STS-123
2008,STS-124
2009,STS-125
2008,STS-126
2009,STS-127
2009,STS-128
2009,STS-129
2010,STS-130
2010,STS-131
2010,STS-132
2011,STS-133
2011,STS-134
2011,STS-135
1985,STS-151-C
1981,STS-2
1988,STS-26
1988,STS-27
1989,STS-28
1989,STS-29
1982,STS-3
1989,STS-30
1990,STS-31
1990,STS-32
1989,STS-33
1989,STS-34
1990,STS-35
1990,STS-36
1991,STS-37
1990,STS-38
1991,STS-39
1982,STS-4
1991,STS-40
1990,STS-41
1984,STS-41-B
1984,STS-41-C
1984,STS-41-D
1984,STS-41-G
1992,STS-42
1991,STS-43
1991,STS-44
1992,STS-45
1992,STS-46
1992,STS-47
1991,STS-48
1992,STS-49
1982,STS-5
1992,STS-50
1993,STS-51
1984,STS-51-A
1985,STS-51-B
1985,STS-51-C
1985,STS-51-D
1985,STS-51-F
1985,STS-51-G
1985,STS-51-I
1985,STS-51-J
1986,STS-51-L
1992,STS-52
1992,STS-53
1993,STS-54
1993,STS-55
1993,STS-56
1993,STS-57
1993,STS-58
1994,STS-59
1983,STS-6
1994,STS-60
1993,STS-61
1985,STS-61-A
1985,STS-61-B
1986,STS-61-C
1994,STS-62
1995,STS-63
1994,STS-64
1994,STS-65
1994,STS-66
1995,STS-67
1994,STS-68
1995,STS-69
1983,STS-7
1995,STS-70
1995,STS-71
1996,STS-72
1995,STS-73
1995,STS-74
1996,STS-75
1996,STS-76
1996,STS-77
1996,STS-78
1996,STS-79
1983,STS-8
1996,STS-80
1997,STS-81
1997,STS-82
1997,STS-83
1997,STS-84
1997,STS-85
1997,STS-86
1997,STS-87
1998,STS-88
1998,STS-89
1983,STS-9
1998,STS-90
1998,STS-91
2000,STS-92
1999,STS-93
1997,STS-94
1998,STS-95
1999,STS-96
2000,STS-97
2001,STS-98
2000,STS-99
1964,Voskhod 1
1965,Voskhod 2
1961,Vostok 1
1961,Vostok 2
1962,Vostok 3
1962,Vostok 4
1963,Vostok 5
1963,Vostok 6
